slug,timestamp,open,high,low,close,volume,quote_volume
btc-updown-15m-1767665700,1767666605,93699.08,93699.08,93699.07,93699.07,0.01594,1493.5631875
btc-updown-15m-1767665700,1767666606,93699.08,93699.08,93699.07,93699.07,0.02183,2045.4508035
btc-updown-15m-1767665700,1767666607,93699.07,93699.07,93699.07,93699.07,0.00385,360.7414195
btc-updown-15m-1767665700,1767666608,93699.08,93699.08,93699.07,93699.07,0.00032,29.9837032
btc-updown-15m-1767665700,1767666609,93699.08,93699.08,93699.08,93699.08,0.00304,284.8452032
btc-updown-15m-1767665700,1767666610,93699.08,93699.08,93699.08,93699.08,0.00209,195.8310772
btc-updown-15m-1767665700,1767666611,93699.08,93699.08,93699.07,93699.07,0.00844,790.8201549
btc-updown-15m-1767665700,1767666612,93699.08,93699.08,93699.07,93699.07,0.00714,669.0114182
btc-updown-15m-1767665700,1767666613,93699.07,93699.07,93699.07,93699.07,0.00406,380.4182242
btc-updown-15m-1767665700,1767666614,93699.07,93699.07,93699.07,93699.07,0.00032,29.9837024
btc-updown-15m-1767665700,1767666615,93699.07,93699.08,93699.07,93699.08,0.00931,872.3383598
btc-updown-15m-1767665700,1767666616,93699.08,93699.08,93699.08,93699.08,7e-05,6.5589356
btc-updown-15m-1767665700,1767666617,93699.08,93699.08,93699.08,93699.08,0.00553,518.1559124
btc-updown-15m-1767665700,1767666618,93699.08,93699.08,93699.07,93699.08,0.00673,630.5948005
btc-updown-15m-1767665700,1767666619,93699.07,93699.07,93699.07,93699.07,0.00011,10.3068977
btc-updown-15m-1767665700,1767666620,93699.08,93699.08,93699.07,93699.07,0.00203,190.2091171
btc-updown-15m-1767665700,1767666621,93699.07,93699.08,93699.07,93699.07,0.04951,4639.0409607
btc-updown-15m-1767665700,1767666622,93699.08,93699.08,93699.07,93699.07,0.25363,23764.8951381
btc-updown-15m-1767665700,1767666623,93699.08,93699.08,93699.07,93699.07,0.00395,370.1113348
btc-updown-15m-1767665700,1767666624,93699.07,93699.07,93699.07,93699.07,0.00013,12.1808791
btc-updown-15m-1767665700,1767666625,93699.08,93699.08,93699.08,93699.08,7e-05,6.5589356
btc-updown-15m-1767665700,1767666626,93699.07,93699.07,93699.07,93699.07,0.00197,184.5871679
